Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Quartile Range,Usage_Category
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",8.1,6.9,9.4,9.8-11.2,Low
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",22.1,19.3,25.2,9.8-11.2,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",17.4,14.9,20.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",18.1,17.2,19.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",21.0,20.2,21.8,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",19.4,19.0,19.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",22.3,19.6,25.1,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",16.7,14.2,19.5,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",18.3,16.1,20.7,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",24.1,20.8,27.7,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",15.8,14.4,17.4,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",17.0,15.1,19.1,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",18.8,15.7,22.3,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",19.8,16.4,23.6,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",18.0,13.8,22.8,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",19.0,16.4,21.7,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",21.1,18.5,23.9,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",12.2,9.8,15.0,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",22.5,19.8,25.4,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",17.2,14.9,19.6,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",23.5,20.7,26.4,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",23.1,19.9,26.5,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",21.2,17.9,24.7,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",26.8,23.0,30.9,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",23.6,20.6,26.9,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",23.1,19.4,27.1,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",17.1,15.1,19.3,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",19.9,18.0,21.9,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",20.4,17.7,23.3,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",20.6,18.3,23.0,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",20.8,17.4,24.7,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",23.7,21.0,26.6,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",18.4,15.5,21.5,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",23.6,20.1,27.3,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",15.0,12.8,17.5,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",21.1,17.4,25.2,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",18.7,16.2,21.5,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",18.5,15.5,21.9,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",17.8,15.3,20.5,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",19.4,16.7,22.3,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",19.6,15.8,23.9,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",21.7,18.4,25.4,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",21.9,19.1,24.8,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",22.9,20.1,25.9,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",22.1,19.1,25.3,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",23.1,19.4,27.2,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",20.5,17.8,23.4,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",17.8,14.2,21.7,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",21.2,18.4,24.1,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",16.4,14.4,18.5,12.2-18.4,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",23.9,21.1,26.8,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",23.2,18.5,28.5,22.6-26.8,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",18.9,16.6,21.5,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",20.9,19.3,22.6,20.6-22.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",22.4,18.8,26.3,20.6-22.5,High
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",19.7,17.3,22.2,18.5-20.5,Medium
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",18.7,15.0,22.7,18.5-20.5,Medium
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",8.7,8.3,9.2,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",12.2,10.9,13.7,9.8-11.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",11.7,11.0,12.6,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",10.0,9.4,10.5,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",8.4,7.6,9.2,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",5.4,4.9,6.0,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",4.1,3.4,5.0,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",3.0,2.0,4.4,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",6.7,6.2,7.3,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",10.6,10.1,11.2,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",4.8,4.5,5.1,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",15.7,14.8,16.6,9.8-11.2,Medium
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",7.3,6.2,8.4,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",9.4,8.9,9.8,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",7.7,6.7,8.7,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",6.2,5.1,7.5,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",10.6,9.0,12.4,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",7.1,5.6,8.8,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",6.6,5.9,7.5,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",8.7,8.0,9.4,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",11.1,10.6,11.5,9.8-11.2,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,"Aug 19 - Aug 31, 2020",8.5,6.5,10.9,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,13,"Aug 19 - Aug 31, 2020",7.5,6.2,9.0,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,13,"Aug 19 - Aug 31, 2020",7.3,5.6,9.3,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,"Aug 19 - Aug 31, 2020",6.1,4.4,8.1,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,"Aug 19 - Aug 31, 2020",9.5,8.1,11.0,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,"Aug 19 - Aug 31, 2020",10.1,8.4,12.1,10.1-19.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,"Aug 19 - Aug 31, 2020",12.3,9.7,15.3,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,"Aug 19 - Aug 31, 2020",10.0,7.4,13.0,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,"Aug 19 - Aug 31, 2020",19.1,13.9,25.3,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,"Aug 19 - Aug 31, 2020",7.8,6.4,9.5,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",7.9,5.9,10.2,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",11.9,8.4,16.1,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,"Aug 19 - Aug 31, 2020",8.3,6.5,10.4,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,"Aug 19 - Aug 31, 2020",8.8,7.2,10.7,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,"Aug 19 - Aug 31, 2020",6.8,5.2,8.7,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,"Aug 19 - Aug 31, 2020",8.1,6.6,9.7,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,13,"Aug 19 - Aug 31, 2020",7.7,6.0,9.7,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,"Aug 19 - Aug 31, 2020",5.8,4.2,7.9,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,"Aug 19 - Aug 31, 2020",9.5,7.3,12.1,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,13,"Aug 19 - Aug 31, 2020",12.4,9.2,16.1,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,13,"Aug 19 - Aug 31, 2020",8.7,7.5,10.1,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,"Aug 19 - Aug 31, 2020",12.7,11.3,14.2,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,13,"Aug 19 - Aug 31, 2020",9.0,7.2,11.2,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,"Aug 19 - Aug 31, 2020",9.5,8.2,10.9,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,"Aug 19 - Aug 31, 2020",6.8,4.8,9.3,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",7.9,5.9,10.2,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",9.2,7.1,11.7,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,"Aug 19 - Aug 31, 2020",6.8,5.0,8.9,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,13,"Aug 19 - Aug 31, 2020",6.7,5.3,8.3,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,"Aug 19 - Aug 31, 2020",7.1,5.4,9.2,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,"Aug 19 - Aug 31, 2020",9.3,7.7,11.0,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,"Aug 19 - Aug 31, 2020",10.1,8.0,12.5,10.1-19.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,13,"Aug 19 - Aug 31, 2020",10.5,9.0,12.0,10.1-19.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,"Aug 19 - Aug 31, 2020",8.9,6.9,11.2,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,"Aug 19 - Aug 31, 2020",4.9,3.3,6.9,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,13,"Aug 19 - Aug 31, 2020",9.6,7.4,12.1,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,"Aug 19 - Aug 31, 2020",7.5,5.5,9.9,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,13,"Aug 19 - Aug 31, 2020",13.0,11.0,15.2,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,"Aug 19 - Aug 31, 2020",9.3,7.9,10.8,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,"Aug 19 - Aug 31, 2020",13.5,10.6,17.0,10.1-19.1,Medium
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,"Aug 19 - Aug 31, 2020",5.4,3.8,7.5,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,"Aug 19 - Aug 31, 2020",6.2,4.3,8.6,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,"Aug 19 - Aug 31, 2020",8.2,6.5,10.2,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,13,"Aug 19 - Aug 31, 2020",6.7,5.5,8.2,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,13,"Aug 19 - Aug 31, 2020",9.4,8.0,10.9,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,13,"Aug 19 - Aug 31, 2020",11.4,8.8,14.5,10.1-19.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,13,"Aug 19 - Aug 31, 2020",9.3,7.7,11.2,8.8-10.0,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,13,"Aug 19 - Aug 31, 2020",10.3,8.8,11.9,10.1-19.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,"Aug 19 - Aug 31, 2020",5.1,3.6,6.9,4.9-7.1,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,"Aug 19 - Aug 31, 2020",7.2,5.9,8.6,7.2-8.7,Low
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,"Aug 19 - Aug 31, 2020",5.3,3.8,7.2,4.9-7.1,Low
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",22.4,22.0,22.9,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",23.3,21.5,25.2,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",23.1,22.1,24.1,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",23.6,22.8,24.5,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",23.9,22.8,25.1,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",21.2,20.2,22.2,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",19.6,18.1,21.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",14.8,12.0,17.9,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",16.3,15.6,17.1,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",28.0,27.3,28.7,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",13.9,13.4,14.4,9.8-11.2,Medium
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",37.5,36.5,38.5,9.8-11.2,High
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",17.2,15.8,18.6,9.8-11.2,Medium
